sentence,citation_sentence,title,citation,quote
"The statute ""protects the holder of a trademark from dilution, which is different from, and broader than, infringement in that neither confusion nor competition is required and the protection is nationwide in scope.""","Nissan Motor Co. v. Nissan Computer Corp., 378 F.3d 1002, 1011 (9th Cir. 2004).","Nissan Motor Co. v. Nissan Computer Corp.,",378 F.3d 1002,"protects the holder of a trademark from dilution, which is different from, and broader than, infringement in that neither confusion nor competition is required and the protection is nationwide in scope."
"Its purpose ""is to protect famous trademarks from subsequent uses that blur the distinctiveness of the mark or tarnish or disparage it.""","Nissan Motor Co. v. Nissan Computer Corp., 378 F.3d 1002, 1011 (9th Cir. 2004).","Nissan Motor Co. v. Nissan Computer Corp.,",378 F.3d 1002,is to protect famous trademarks from subsequent uses that blur the distinctiveness of the mark or tarnish or disparage it.
"The asserted mark must have ""such powerful consumer associations that even non-competing uses can impinge on their value.""","Avery Dennison Corp. v. Sumpton, 189 F.3d 868, 875 (9th Cir. 1999).","Avery Dennison Corp. v. Sumpton,",189 F.3d 868,such powerful consumer associations that even non-competing uses can impinge on their value.
"""For example, Tylenol snowboards, Netscape sex shops and Harry Potter dry cleaners would all weaken the commercial magnetism of these marks and diminish their ability to evoke their original associations. These uses dilute the selling power of these trademarks by blurring their uniqueness and singularity, and/or by tarnishing them with negative associations.""","Mattel, Inc. v. MCA Records, Inc., 296 F.3d 894, 903 (9th Cir. 2002).","Mattel, Inc. v. MCA Records, Inc.,",296 F.3d 894,"For example, Tylenol snowboards, Netscape sex shops and Harry Potter dry cleaners would all weaken the commercial magnetism of these marks and diminish their ability to evoke their original associations. These uses dilute the selling power of these trademarks by blurring their uniqueness and singularity, and/or by tarnishing them with negative associations."
"""Factors to be taken into consideration are whether the defendant makes sales, solicits or engages in business in the state, serves the state's markets, designates an agent for service of process, holds a license, or is incorporated there.""","Bancroft Masters, Inc. v. Augusta Nat'l, Inc., 223 F.3d 1082, 1086 (9th Cir. 2000).","Bancroft Masters, Inc. v. Augusta Nat'l, Inc.,",223 F.3d 1082,"Factors to be taken into consideration are whether the defendant makes sales, solicits or engages in business in the state, serves the state's markets, designates an agent for service of process, holds a license, or is incorporated there."
"Purposeful direction is established by evidence that the defendant ""(1) committed an intentional act, (2) expressly aimed at the forum state, (3) causing harm that the defendant knows is likely to be suffered in the forum state.""","Dole Food Co., Inc. v. Watts, 303 F.3d 1104, 1111 (9th Cir. 2002).","Dole Food Co., Inc. v. Watts,",303 F.3d 1104,"(1) committed an intentional act, (2) expressly aimed at the forum state, (3) causing harm that the defendant knows is likely to be suffered in the forum state."
"""[U]nder the anti-dissection rule, the validity and distinctiveness of a composite trademark is determined viewing the trademark as a whole, as it appears in the marketplace.""","Official Airline Guides, Inc. v. Goss, 6 F.3d 1385, 1392 (9th Cir. 1993).","Official Airline Guides, Inc. v. Goss,",6 F.3d 1385,"under the anti-dissection rule, the validity and distinctiveness of a composite trademark is determined viewing the trademark as a whole, as it appears in the marketplace."
"A motion for reconsideration is an ""extraordinary remedy, to be used sparingly in the interests of finality and conservation of judicial resources.""","Kona Enterprises v. Estate of Bishop, 229 F.3d 877, 890 (9th Cir.2000).","Kona Enterprises v. Estate of Bishop,",229 F.3d 877,"extraordinary remedy, to be used sparingly in the interests of finality and conservation of judicial resources."
"""A party seeking reconsideration must show more than a disagreement with the Court's decision, and recapitulation of the cases and arguments considered by the court before rendering its original decision fails to carry the moving party's burden.""","U.S. v. Westlands Water Dist., 134 F.Supp.2d 1111, 1131 (E.D.Cal.2001).","U.S. v. Westlands Water Dist.,",134 F.Supp.2d 1111,"A party seeking reconsideration must show more than a disagreement with the Court's decision, and recapitulation of the cases and arguments considered by the court before rendering its original decision fails to carry the moving party's burden."
"""[U]nder the anti-dissection rule, the validity and distinctiveness of a composite trademark is determined viewing the trademark as a whole, as it appears in the marketplace.""","Official Airline Guides, Inc. v. Goss, 6 F.3d 1385, 1392 (9th Cir. 1993).","Official Airline Guides, Inc. v. Goss,",6 F.3d 1385,"under the anti-dissection rule, the validity and distinctiveness of a composite trademark is determined viewing the trademark as a whole, as it appears in the marketplace."
"In Twentieth-Century Fox v. Empire Distribution, Inc. , the plaintiff, Empire Distribution, Inc., was a ""well-known and respected record label that records and releases albums in the urban music genre.""","875 F.3d 1192, 1195 (9th Cir. 2017).",,875 F.3d 1192,well-known and respected record label that records and releases albums in the urban music genre.
"In assessing this first consideration, courts evaluate whether ""the junior user has employed the mark in a different context—often in an entirely different market—than the senior user.""","Gordon v. Drape Creative, Inc. , 909 F.3d 257, 270 (9th Cir. 2018).","Gordon v. Drape Creative, Inc. ,",909 F.3d 257,the junior user has employed the mark in a different context—often in an entirely different market—than the senior user.
"""This is not a mechanical test—all of the relevant facts and circumstances must be considered.""","Gordon v. Drape Creative, Inc. , 909 F.3d 257, 270 (9th Cir. 2018).","Gordon v. Drape Creative, Inc. ,",909 F.3d 257,This is not a mechanical test—all of the relevant facts and circumstances must be considered.
"This is likely because Rogers itself rejects consideration of alternative means: ""In the context of titles, this ‘no alternative’ standard provides insufficient leeway for literary expression.""","875 F.2d 994, 999 (2d Cir. 1989).",,875 F.2d 994,"In the context of titles, this ‘no alternative’ standard provides insufficient leeway for literary expression."
"The objective extrinsic test is based on specific expressive elements, and focuses on ""articulable similarities between the plot, themes, dialogue, mood, setting, pace, characters and sequence of events"" in the two works.","Kouf v. Walt Disney Pictures Television, 16 F.3d 1042, 1045 (9th Cir. 1994).","Kouf v. Walt Disney Pictures Television,",16 F.3d 1042,"articulable similarities between the plot, themes, dialogue, mood, setting, pace, characters and sequence of events"
"Nevertheless, ""[b]eing different from an original does not inevitably `comment' on the original.""","Leibovitz v. Paramount Pictures Corp., 137 F.3d 109, 114 (2d Cir. 1998).","Leibovitz v. Paramount Pictures Corp.,",137 F.3d 109,Being different from an original does not inevitably `comment' on the original.
"Section 43(a) protects registered marks, but also protects certain unregistered trademarks from infringement and even offers a degree of protection from unfair competition for ""unregistrable marks,"" such as generic words that have acquired significant secondary meaning.","124 F.3d 137, 142 (2d Cir. 1997).",,124 F.3d 137,"unregistrable marks,"
"As to Plaintiff's defamation claim, ""for almost a century the Second Circuit has subscribed to the majority view that, absent extraordinary circumstances, injunctions should not ordinarily issue in defamation cases.""","239 F.3d 172, 177 (2d Cir. 2001).",,239 F.3d 172,"for almost a century the Second Circuit has subscribed to the majority view that, absent extraordinary circumstances, injunctions should not ordinarily issue in defamation cases."
"15(a) , and ""should not be denied unless there is evidence of undue delay, bad faith, undue prejudice to the non-movant, or futility.""","244 F.3d 104, 110 (2d Cir. 2001).",,244 F.3d 104,"should not be denied unless there is evidence of undue delay, bad faith, undue prejudice to the non-movant, or futility."
"Fees under the Lanham Act are appropriate ""[w]hen a plaintiff's case is groundless, unreasonable, vexatious, or pursued in bad faith.""","Stephen W. Boney, Inc. v. Boney Servs., Inc., 127 F.3d 821, 827 (9th Cir. 1997).","Stephen W. Boney, Inc. v. Boney Servs., Inc.,",127 F.3d 821,"When a plaintiff's case is groundless, unreasonable, vexatious, or pursued in bad faith."
"Rule 45(d) Under Rule 45(d) (formerly 45(c) ), there are ""two related avenues by which a person subject to a subpoena may be protected from the costs of compliance: sanctions under Rule 45(d)(1) and cost-shifting under Rule 45(d)(2)(B)(ii) .""","Legal Voice v. Stormans Inc. , 738 F.3d 1178, 1184 (9th Cir. 2013).","Legal Voice v. Stormans Inc. ,",738 F.3d 1178,two related avenues by which a person subject to a subpoena may be protected from the costs of compliance: sanctions under Rule 45(d)(1) and cost-shifting under Rule 45(d)(2)(B)(ii) .
"But the Sheriff's Department did not ""provide the marketplace with new creative works,"" nor was there any advancement of public knowledge in this case.","Triad Sys. Corp. v. Southeastern Express Co., 64 F.3d 1330, 1336 (9th Cir. 1995).","Triad Sys. Corp. v. Southeastern Express Co.,",64 F.3d 1330,"provide the marketplace with new creative works,"
"To prevail on its copyright infringement claim, Taylor must prove ""ownership of a valid copyright and copying of original elements of the work.""","Mulcahy v. Cheetah Learning, LLC, 386 F.3d 849, 852 (8th Cir. 2004).","Mulcahy v. Cheetah Learning, LLC,",386 F.3d 849,ownership of a valid copyright and copying of original elements of the work.
"c. Independent Creation ""By establishing reasonable access and substantial similarity, a copyright plaintiff creates a presumption of copying.""","Three Boys Music Corp. v. Bolton, 212 F.3d 477, 486 (9th Cir. 2000).","Three Boys Music Corp. v. Bolton,",212 F.3d 477,"By establishing reasonable access and substantial similarity, a copyright plaintiff creates a presumption of copying."
"Then, ""[t]he burden shifts to the defendant to rebut that presumption through proof of independent creation.""","Three Boys Music Corp. v. Bolton, 212 F.3d 477, 486 (9th Cir. 2000).","Three Boys Music Corp. v. Bolton,",212 F.3d 477,The burden shifts to the defendant to rebut that presumption through proof of independent creation.
"Injunctions regularly are issued pursuant to the mandate of section 502 , because the ""public interest is the interest in upholding copyright protections.""","Autoskill, Inc. v. Nat'l Educ. Support Sys., Inc., 994 F.2d 1476, 1499 (10th Cir. 1993).","Autoskill, Inc. v. Nat'l Educ. Support Sys., Inc.,",994 F.2d 1476,public interest is the interest in upholding copyright protections.
"""Copying refers to the act of infringing any of the exclusive rights that accrue to the owner of a valid copyright, as set forth at 17 U.S.C. § 106 , including the rights to distribute and reproduce copyrighted material.""","Kay Berry, Inc. v. Taylor Gifts, Inc., 421 F.3d 199, 207 (3d Cir. 2005).","Kay Berry, Inc. v. Taylor Gifts, Inc.,",421 F.3d 199,"Copying refers to the act of infringing any of the exclusive rights that accrue to the owner of a valid copyright, as set forth at 17 U.S.C. § 106 , including the rights to distribute and reproduce copyrighted material."
"Oracle appealed that determination to this court, and we reversed, finding that declaring code and the structure, sequence, and organization (""SSO"") of the Java API packages are entitled to copyright protection.","Oracle Am., Inc. v. Google Inc ., 750 F.3d 1339, 1348 (Fed. Cir. 2014).","Oracle Am., Inc. v. Google Inc .,",750 F.3d 1339,SSO
"Court orders ""must ordinarily be interpreted by examination of only the `four corners' of the document.""","United States v. Reader's Digest Ass'n, Inc., 662 F.2d 955, 961 (3d Cir. 1981).","United States v. Reader's Digest Ass'n, Inc.,",662 F.2d 955,must ordinarily be interpreted by examination of only the `four corners' of the document.
"Should there be ""any ambiguity or obscurity or if the judgment fails to express the rulings in the case with clarity or accuracy, reference may be had to the findings and the entire record for the purpose of determining what was decided.""","Security Mutual Casualty Co. v. Century Casualty Co., 621 F.2d 1062, 1064 (10th Cir. 1980).","Security Mutual Casualty Co. v. Century Casualty Co.,",621 F.2d 1062,"any ambiguity or obscurity or if the judgment fails to express the rulings in the case with clarity or accuracy, reference may be had to the findings and the entire record for the purpose of determining what was decided."
"A denial of a motion for a new trial is reviewed ""only for abuse of discretion unless the court's denial of the motion is based on the application of a legal precept, in which case our review is plenary.""","Honeywell v. American Standards Testing Bureau, Inc., 851 F.2d 652, 655 (3d Cir. 1988).","Honeywell v. American Standards Testing Bureau, Inc.,",851 F.2d 652,"only for abuse of discretion unless the court's denial of the motion is based on the application of a legal precept, in which case our review is plenary."
"Our duty ""is to uphold the jury's award if there exists a reasonable basis to do so.""","Motter v. Everest Jennings, Inc., 883 F.2d 1223, 1230 (3d Cir. 1989).","Motter v. Everest Jennings, Inc.,",883 F.2d 1223,is to uphold the jury's award if there exists a reasonable basis to do so.
"This scope of review has been described as ""highly deferential.""","Motter v. Everest Jennings, Inc., 883 F.2d 1223, 1230 (3d Cir. 1989).","Motter v. Everest Jennings, Inc.,",883 F.2d 1223,highly deferential.
"(2) Trademark Infringement Trademark infringement is established if the plaintiff proves that ""(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.""","Opticians Ass'n of America v. Independent Opticians of America, 920 F.2d 187, 192 (3d Cir. 1990).","Opticians Ass'n of America v. Independent Opticians of America,",920 F.2d 187,(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.
"""Although there are numerous cases determining secondary meaning, there is no consensus on its elements.""","American Scientific Chemical, Inc. v. American Hospital Supply Corp., 690 F.2d 791, 792 (9th Cir. 1982).","American Scientific Chemical, Inc. v. American Hospital Supply Corp.,",690 F.2d 791,"Although there are numerous cases determining secondary meaning, there is no consensus on its elements."
"""In general, publication of a work without a proper notice of copyright affixed injects the work into the public domain.""","Shapiro Son Bedspread Corp. v. Royal Mills Ass'n, 764 F.2d 69, 72 (2d Cir. 1985).","Shapiro Son Bedspread Corp. v. Royal Mills Ass'n,",764 F.2d 69,"In general, publication of a work without a proper notice of copyright affixed injects the work into the public domain."
"We have held that Rule 11 sanctions may be awarded in exceptional circumstances in order to ""discourage plaintiffs from bringing baseless actions or making frivolous motions.""","Doering v. Union County Bd. of Chosen Freeholders, 857 F.2d 191, 194 (3d Cir. 1988).","Doering v. Union County Bd. of Chosen Freeholders,",857 F.2d 191,discourage plaintiffs from bringing baseless actions or making frivolous motions.
"This rule prevents ""the confusion and inefficiency which would of necessity result were two courts to be considering the same issue or issues simultaneously.""","Venen v. Sweet, 758 F.2d 117, 121 (3d Cir. 1985).","Venen v. Sweet,",758 F.2d 117,the confusion and inefficiency which would of necessity result were two courts to be considering the same issue or issues simultaneously.
"The court focuses on the marks to determine whether they are ""confusingly similar.""","Country Floors, Inc. v. Gepner, 930 F.2d 1056, 1063 (3d Cir. 1991).","Country Floors, Inc. v. Gepner,",930 F.2d 1056,confusingly similar.
"""The result is that the senior user loses the value of the trademark — its product identity, corporate identity, control over its goodwill and reputation, and ability to move into new markets.""","Ameritech, Inc. v. American Information Technologies Corp., 811 F.2d 960, 964 (6th Cir. 1987).","Ameritech, Inc. v. American Information Technologies Corp.,",811 F.2d 960,"The result is that the senior user loses the value of the trademark — its product identity, corporate identity, control over its goodwill and reputation, and ability to move into new markets."
"""All four factors should favor preliminary relief before the injunction will issue.""","S R Corp. v. Jiffy Lube Int'l, Inc., 968 F.2d 371, 374 (3d Cir. 1992).","S R Corp. v. Jiffy Lube Int'l, Inc.,",968 F.2d 371,All four factors should favor preliminary relief before the injunction will issue.
"In order to succeed in a trademark infringement case, then, plaintiff must show: ""(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.""","Opticians Ass'n v. Indep. Opticians, 920 F.2d 187, 192 (3d Cir. 1990).","Opticians Ass'n v. Indep. Opticians,",920 F.2d 187,(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.
"""When consumers exercise heightened care in evaluating the relevant products before making purchasing decisions, courts have found there is not a strong likelihood of confusion.""","Checkpoint Sys., Inc. v. Check Point Software Tech., Inc. , 269 F.3d 270, 284 (3d Cir. 2001).","Checkpoint Sys., Inc. v. Check Point Software Tech., Inc. ,",269 F.3d 270,"When consumers exercise heightened care in evaluating the relevant products before making purchasing decisions, courts have found there is not a strong likelihood of confusion."
"There is a ""substantial overlap"" between the factors for trademark dilution and trademark infringement.","adidas Am., Inc. v. Skechers USA, Inc. , 890 F.3d 747, 759 (9th Cir. 2018).","adidas Am., Inc. v. Skechers USA, Inc. ,",890 F.3d 747,substantial overlap
"But, ""a plaintiff seeking to establish a likelihood of dilution is not required to go to the expense of producing expert testimony or market surveys.""","Visa Int'l Service Ass'n v. JSL Corp. , 610 F.3d 1088, 1091 (9th Cir. 2010).","Visa Int'l Service Ass'n v. JSL Corp. ,",610 F.3d 1088,a plaintiff seeking to establish a likelihood of dilution is not required to go to the expense of producing expert testimony or market surveys.
"""The decisive question is not who manufactured the article sold under a given trademark, but which business or article is symbolized by it.""","Premier Dental Products Co. v. Darby Dental Supply Co., 794 F.2d 850, 853 (3d Cir.1986).","Premier Dental Products Co. v. Darby Dental Supply Co.,",794 F.2d 850,"The decisive question is not who manufactured the article sold under a given trademark, but which business or article is symbolized by it."
"Suggestive terms are ""virtually indistinguishable from arbitrary marks.""","Checkpoint Systems, Inc. v. Checkpoint Software Technologies, Inc. , 269 F.3d 270, 282 (3d Cir. 2001).","Checkpoint Systems, Inc. v. Checkpoint Software Technologies, Inc. ,",269 F.3d 270,virtually indistinguishable from arbitrary marks.
"They require ""imagination, thought or perception"" to reach a conclusion as to the nature of the goods or services.","Checkpoint Systems, Inc. v. Checkpoint Software Technologies, Inc. , 269 F.3d 270, 282 (3d Cir. 2001).","Checkpoint Systems, Inc. v. Checkpoint Software Technologies, Inc. ,",269 F.3d 270,"imagination, thought or perception"
"""The law of trademark protects trademark owners in the exclusive use of their marks when use by another would be likely to cause confusion.""","Interpace Corp. v. Lapp, Inc., 721 F.2d 460, 462 (3d Cir. 1983).","Interpace Corp. v. Lapp, Inc.,",721 F.2d 460,The law of trademark protects trademark owners in the exclusive use of their marks when use by another would be likely to cause confusion.
"Otherwise, ""a larger company could with impunity infringe the senior mark of a smaller one.""","Banff, Ltd. v. Federated Dep't Stores, Inc., 841 F.2d 486, 491 (2d Cir. 1988).","Banff, Ltd. v. Federated Dep't Stores, Inc.,",841 F.2d 486,a larger company could with impunity infringe the senior mark of a smaller one.
"To prove likelihood of confusion, plaintiffs must show that ""consumers viewing the mark would probably assume the product or service it represents is associated with the source of a different product or service identified by a similar mark.""","Scott Paper Co. v. Scott's Liquid Gold, Inc., 589 F.2d 1225, 1229 (3d Cir. 1978).","Scott Paper Co. v. Scott's Liquid Gold, Inc.,",589 F.2d 1225,consumers viewing the mark would probably assume the product or service it represents is associated with the source of a different product or service identified by a similar mark.
"Standard for Trademark Infringement Claim ""The law of trademark protects trademark owners in the exclusive use of their marks when use by another would be likely to cause confusion.""","Interpace Corp. v. Lapp, Inc ., 721 F.2d 460, 462 (3d Cir. 1983).","Interpace Corp. v. Lapp, Inc .,",721 F.2d 460,The law of trademark protects trademark owners in the exclusive use of their marks when use by another would be likely to cause confusion.
"Laches is an equitable doctrine and grants the court flexibility, ""eschewing mechanical rules.""","Waddell v. Small Tube Prods., Inc., 799 F.2d 69, 79 (3d Cir. 1986).","Waddell v. Small Tube Prods., Inc.,",799 F.2d 69,eschewing mechanical rules.
"""[T]he statute of limitations does not prohibit recovery of damages incurred more than three years prior to the filing of suit if the copyright plaintiff was unaware of the infringement, and that lack of knowledge was reasonable under the circumstances.""","Polar Bear Productions, Inc. v. Timex Corp., 384 F.3d 700, 706 (9th Cir. 2004).","Polar Bear Productions, Inc. v. Timex Corp.,",384 F.3d 700,"the statute of limitations does not prohibit recovery of damages incurred more than three years prior to the filing of suit if the copyright plaintiff was unaware of the infringement, and that lack of knowledge was reasonable under the circumstances."
"The court focuses on the marks to determine whether they are ""confusingly similar.""","Country Floors, Inc. v. Gepner, 930 F.2d 1056, 1063 (3d Cir. 1991).","Country Floors, Inc. v. Gepner,",930 F.2d 1056,confusingly similar.
"""The result is that the senior user loses the value of the trademark — its product identity, corporate identity, control over its goodwill and reputation, and ability to move into new markets.""","Ameritech, Inc. v. American Information Technologies Corp., 811 F.2d 960, 964 (6th Cir. 1987).","Ameritech, Inc. v. American Information Technologies Corp.,",811 F.2d 960,"The result is that the senior user loses the value of the trademark — its product identity, corporate identity, control over its goodwill and reputation, and ability to move into new markets."
"LIKELIHOOD OF SUCCESS ON THE MERITS To prevail on a claim for trademark infringement or unfair competition under the Lanham Act, the owner of a valid and legally protectable mark, such as Kos, must show that a defendant's use of a similar mark for its goods ""causes a likelihood of confusion.""","A H Sportswear, Inc. v. Victoria's Secret Stores, Inc., 237 F.3d 198, 210 (3d Cir. 2000).","A H Sportswear, Inc. v. Victoria's Secret Stores, Inc.,",237 F.3d 198,causes a likelihood of confusion.
"""None of these factors is determinative in the likelihood of confusion analysis and each factor must be weighed and balanced one against the other.""","Checkpoint Sys., Inc. v. Check Point Software Techs., Inc., 269 F.3d 270, 280 (3d Cir. 2001).","Checkpoint Sys., Inc. v. Check Point Software Techs., Inc.,",269 F.3d 270,None of these factors is determinative in the likelihood of confusion analysis and each factor must be weighed and balanced one against the other.
"When reviewing an order that does not adequately support the resolution of a motion for preliminary injunction, we may vacate and remand for additional findings or may ""first look to see whether the record provides a sufficient basis to ascertain the legal and factual grounds for the grant or denial of the injunction.""","Bradley v. Pittsburgh Bd. of Educ., 910 F.2d 1172, 1178 (3d Cir. 1990).","Bradley v. Pittsburgh Bd. of Educ.,",910 F.2d 1172,first look to see whether the record provides a sufficient basis to ascertain the legal and factual grounds for the grant or denial of the injunction.
"""Grounds for irreparable injury include loss of control of reputation, loss of trade, and loss of good will.""","Pappan Enters., Inc. v. Hardee's Food Sys., Inc., 143 F.3d 800, 805 (3d Cir. 1998).","Pappan Enters., Inc. v. Hardee's Food Sys., Inc.,",143 F.3d 800,"Grounds for irreparable injury include loss of control of reputation, loss of trade, and loss of good will."
"""All four factors should favor preliminary relief before the injunction will issue.""","S R Corp. v. Jiffy Lube Int'l, Inc., 968 F.2d 371, 374 (3d Cir. 1992).","S R Corp. v. Jiffy Lube Int'l, Inc.,",968 F.2d 371,All four factors should favor preliminary relief before the injunction will issue.
"In order to succeed in a trademark infringement case, then, plaintiff must show: ""(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.""","Opticians Ass'n v. Indep. Opticians, 920 F.2d 187, 192 (3d Cir. 1990).","Opticians Ass'n v. Indep. Opticians,",920 F.2d 187,(1) the marks are valid and legally protectable; (2) the marks are owned by the plaintiff; and (3) the defendant's use of the marks to identify goods or services is likely to create confusion concerning the origin of the goods or services.
"As the Tenth Circuit stated, ""[t]his question involves two separate inquiries: 1) whether the defendant, as a factual matter, copied portions of the plaintiff's program; and 2) whether, as a mixed issue of fact and law, those elements of the program that have been copied are protected expression and of such importance to the copied work that the appropriation is actionable.""","Gates Rubber Co. v. Bando Chem. Indus., Ltd., 9 F.3d 823, 832 (10th Cir. 1993).","Gates Rubber Co. v. Bando Chem. Indus., Ltd.,",9 F.3d 823,"This question involves two separate inquiries: 1) whether the defendant, as a factual matter, copied portions of the plaintiff's program; and 2) whether, as a mixed issue of fact and law, those elements of the program that have been copied are protected expression and of such importance to the copied work that the appropriation is actionable."
"Or, stated another way, whether ""the ordinary observer, unless he set out to detect the disparities, would be disposed to overlook them, and regard their aesthetic appeal as the same.""","Peter Pan Fabrics, Inc. v. Martin Weiner Corp., 274 F.2d 487, 489 (2d Cir. 1960).","Peter Pan Fabrics, Inc. v. Martin Weiner Corp.,",274 F.2d 487,"the ordinary observer, unless he set out to detect the disparities, would be disposed to overlook them, and regard their aesthetic appeal as the same."
"With respect to the calculation of actual damages, ""the primary measure of recovery is the extent to which the market value of the copyrighted work at the time of the infringement has been injured or destroyed by the infringement.""","Fitzgerald Pub. Co., Inc. v. Baylor Pub. Co., Inc., 807 F.2d 1110, 1118 (2d Cir. 1986).","Fitzgerald Pub. Co., Inc. v. Baylor Pub. Co., Inc.,",807 F.2d 1110,the primary measure of recovery is the extent to which the market value of the copyrighted work at the time of the infringement has been injured or destroyed by the infringement.
"The Court has also recently rejected allegations of racial discrimination based solely on the statistically disproportionate racial impact of various provisions of the Social Security Act because ""[t]he acceptance of appellants' constitutional theory would render suspect each difference in treatment among the grant classes, however lacking in racial motivation and however otherwise rational the treatment might be.""","Jefferson v. Hackney , 406 U.S. 535, 548 (1972).","Jefferson v. Hackney ,",406 U.S. 535,"The acceptance of appellants' constitutional theory would render suspect each difference in treatment among the grant classes, however lacking in racial motivation and however otherwise rational the treatment might be."
"Indeed, we have recognized that ""proof that the minority has consistently voted differently helps one to ascertain whether the minority group members constitute a politically cohesive unit.""","Gomez v. City of Watsonville, 863 F.2d 1407, 1415 (9th Cir. 1988).","Gomez v. City of Watsonville,",863 F.2d 1407,proof that the minority has consistently voted differently helps one to ascertain whether the minority group members constitute a politically cohesive unit.
"""We say once again what has been said on many occasions: reapportionment is primarily the duty and responsibility of the State through its legislature or other body, rather than of a federal court.""","Chapman v. Meier , 420 U.S. 1, 27 (1975).","Chapman v. Meier ,",420 U.S. 1,"We say once again what has been said on many occasions: reapportionment is primarily the duty and responsibility of the State through its legislature or other body, rather than of a federal court."
"The Court of Appeals initially vacated and remanded, holding that the District Court had erred in giving the mixed-motive instruction because respondent had failed to present ""substantial evidence of conduct or statements by the employer directly reflecting discriminatory animus.""","268 F.3d 882, 884 (CA9 2001).",,268 F.3d 882,substantial evidence of conduct or statements by the employer directly reflecting discriminatory animus.
"DISCUSSION ""To prove copyright infringement, a plaintiff must demonstrate (1) ownership of the allegedly infringed work and (2) copying of the protected elements of the work by the defendant.""","Pasillas v. McDonald's Corp. , 927 F.2d 440, 442 (9th Cir. 1991).","Pasillas v. McDonald's Corp. ,",927 F.2d 440,"To prove copyright infringement, a plaintiff must demonstrate (1) ownership of the allegedly infringed work and (2) copying of the protected elements of the work by the defendant."
"If there is no evidence of access, a ""striking similarity"" between the works may allow an inference of copying.","Baxter v. MCA, Inc. , 812 F.2d 421, 423 (9th Cir. 1987).","Baxter v. MCA, Inc. ,",812 F.2d 421,striking similarity
"To claim trademark infringement, a plaintiff must have a ""valid, protectable' trademark.""","Brookfield Commc'ns, Inc. v. W. Coast Entm't Corp. , 174 F.3d 1036, 1046 (9th Cir. 1999).","Brookfield Commc'ns, Inc. v. W. Coast Entm't Corp. ,",174 F.3d 1036,"valid, protectable' trademark."
"""The fact-finder is not the designated representative of the purchasing public, and the fact-finder's own perception of the mark is not the object of the inquiry. Rather, the fact-finder's function is to determine, based on the evidence before it, what the perception of the purchasing public is.""","Lane Capital Mgmt., Inc. v. Lane Capital Mgmt., Inc. , 192 F.3d 337, 344 (2d Cir. 1999).","Lane Capital Mgmt., Inc. v. Lane Capital Mgmt., Inc. ,",192 F.3d 337,"The fact-finder is not the designated representative of the purchasing public, and the fact-finder's own perception of the mark is not the object of the inquiry. Rather, the fact-finder's function is to determine, based on the evidence before it, what the perception of the purchasing public is."
"""[T]he fact that a mark is registered is strong evidence that the mark satisfies the statutory requirements for distinctiveness necessary for trademark protection.""","Retail Servs., Inc. v. Freebies Publ'g , 364 F.3d 535, 542 (4th Cir. 2004).","Retail Servs., Inc. v. Freebies Publ'g ,",364 F.3d 535,the fact that a mark is registered is strong evidence that the mark satisfies the statutory requirements for distinctiveness necessary for trademark protection.
"In order to sustain a retaliation claim, the plaintiff must demonstrate that he engaged in constitutionally protected conduct and that the ""protected conduct was a substantial or motivating factor in the prison officials' decision to discipline the plaintiff.""","Graham v. Henderson, 89 F.3d 75, 79 (2d Cir. 1996).","Graham v. Henderson,",89 F.3d 75,protected conduct was a substantial or motivating factor in the prison officials' decision to discipline the plaintiff.
"Once the plaintiff carries his initial burden, ""the defendants must show by a preponderance of the evidence that they would have disciplined the plaintiff `even in the absence of the protected conduct.'""","Graham v. Henderson, 89 F.3d 75, 79 (2d Cir. 1996).","Graham v. Henderson,",89 F.3d 75,the defendants must show by a preponderance of the evidence that they would have disciplined the plaintiff `even in the absence of the protected conduct.'
"We have established a ""presumption that a prison official's acts to maintain order are done for a proper purpose.""","Rivera v. Senkowski, 62 F.3d 80, 86 (2d Cir. 1995).","Rivera v. Senkowski,",62 F.3d 80,presumption that a prison official's acts to maintain order are done for a proper purpose.
"Following Sandin, we held that for a liberty interest to be protectible, the plaintiff ""must establish both that the confinement or restraint creates an `atypical and significant hardship' under Sandin, and that the state has granted its inmates, by regulation or by statute, a protected liberty interest in remaining free from that confinement or restraint.""","Frazier v. Coughlin, 81 F.3d 313, 317 (2d Cir. 1996).","Frazier v. Coughlin,",81 F.3d 313,"must establish both that the confinement or restraint creates an `atypical and significant hardship' under Sandin, and that the state has granted its inmates, by regulation or by statute, a protected liberty interest in remaining free from that confinement or restraint."
